Account,Token Account,Quantity,Percentage
2RH6rUTPBJ9rUDPpuV9b8z1YL56k1tYU6Uk5ZoaEFFSK,HkykUVWTctptXZmRTWearMsH4SaQNmE4Ku3tMJe5v2mH,800000024.36,80.00
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,7DaumTmUaK3xcpd8XJXAjUzDrCqPuj3S1Sc2cbootBUN,24602088.23,2.46
5e2qRc1DNEXmyxP8qwPwJhRWjef7usLyi7v5xjqLr5G7,T8ewYnoJbDygARjFZk13PGsjxQ7eqNcUWUPeiQQGHBQ,15385950.77,1.54
8N2ssXZGJbvVLszanERuCJpLZd2nuADgpZwLkDDxwNnS,3zya4BbfRV8a4nKyAmxqufyGYEH5TF3dZFYZvE5kSj7N,14180001.54,1.42
CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,E891sHy7Sw7yYhzSYAJCJipAiUU8YLj33VHkutLNBuck,13724279.14,1.37
9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,AK93dERw7MJsGFBUPfV1bkXzDviJZM1K6vg2yGDugk7L,11518000.14,1.15
3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,BdnDGUhkJYJkHoPeiKfVTDRbGayGtptC5psCSJKxJo1c,10000000.00,1.00
8Tp9fFkZ2KcRBLYDTUNXo98Ez6ojGb6MZEPXfGDdeBzG,HsyggfZwiioG2DqUVdVjiL8JC8WTs71V1n1goSdsq1aN,9598146.15,0.96
4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,3dBurDeLbFW6qnxuB6oW4AUx4F467u4KqgKhMTqNz6NA,7344492.65,0.73
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,3UCFy6h41kJSyRxWT7Tra5WUU3EyTZ9t4zRrSRh3kcdQ,7134606.74,0.71
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,CLSgZqZZ9hay1h8q8cdVCPi9J9L4g3Tp45snjv64WFL5,5150000.00,0.52
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,CVwBQD4C1ySuwnfbnq3pGcmgC3cb1RYt25U8XpsVEpyF,4797533.11,0.48
GRvmQxtFRqtQZYaeF8bUqH8FrDHoK5Eabs5aYyU34bPg,3xxr6QzsRcq63FTN145x1oFcjkdLRahTTxnt6q4r42Tj,3527344.00,0.35
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,5N7UxEiS2a4FZqvrp7WwuRNe3pXZzKXCaGcSiMeSbgET,2600306.07,0.26
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,3yXrVPar4qfupBHa9Kx1vjwfFCARfveBhD1BNFB2vW4X,2516892.07,0.25
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,8veyTUzoqVsLHe4ACtcn5v5ctfR9yYHaHT3Txg2grATr,2178663.34,0.22
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,2aeSHoNwDxg7JP6f5gjC8sWLdZtqYVphRx43s63LyPex,1804609.20,0.18
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8PjDWgdYqhGSJX4BYDcpBEyJ6jtdXHDRKyLH6GL6Cp41,1704691.91,0.17
DeAudKoDDmQ6TDCdLF32kLjacmyi3k9E5JRnavQZMfib,CKKjyad74ehgy93SVdGL1ZCz4EcvYLqYfBHdPWh3fYEo,1582416.19,0.16
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,FruuwknoGj2QJVN89pSKiNa684ZXkm9aTyy5kapkjdxS,1553855.24,0.16
7qtDv72fGzuuGmyg1FkTxBybYH2sXkUd6u8WXwnkRnpE,9cUcZ41hLtL9AsBgP8ExrBk7TvoNpwZhGh8vYWsQPTJk,1526346.14,0.15
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,D4LAqNcbjFoqnc8qNQ5rooKeTrWeyKiGmUVTnFy6vcs4,1496904.99,0.15
8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,Cd3HX8ToTVeJYTN4dB6BuRvnvmTFeXHJ3E4EAfR9s8QA,1471003.30,0.15
HLJ2VyuyBUafwfKedoh7tXJxFTEwGDHSvjTChRVJXYqh,2vUpJ1umLZK2Tc4jfsVcYfu9ETHm8agJ7sdXcc4xQuGb,1390538.20,0.14
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,GKYR3YtYoPpBjuUuAqXD6CVV7sDGndcRkpjqP3WSKSU8,1378280.05,0.14
